"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.051350724E2,1.687466523E1,7.362365522E1,1.751020352E2,3.609999895E0,5.500000000E1,3.790092468E0,2.731909037E0
1.061342054E2,1.687468755E1,7.362368487E1,1.752218523E2,3.960000038E0,5.759999847E1,3.790092468E0,2.747909069E0
1.071343968E2,1.687471161E1,7.362371697E1,1.744393822E2,4.210000038E0,5.770000076E1,3.790092468E0,2.632491350E0
1.081341848E2,1.687473632E1,7.362375040E1,1.742938127E2,4.409999847E0,5.840000153E1,3.790092468E0,2.574789524E0
1.091344711E2,1.687476353E1,7.362378660E1,1.747389348E2,4.769999981E0,5.370000076E1,3.790092468E0,2.500000000E0
1.101353903E2,1.687479309E1,7.362381604E1,1.739092658E2,4.019999981E0,4.470000076E1,3.790092468E0,2.541088820E0
1.111354168E2,1.687482563E1,7.362384245E1,1.737142294E2,4.449999809E0,3.990000153E1,3.790092468E0,2.529576778E0
1.121351639E2,1.687485860E1,7.362386921E1,1.733479271E2,4.699999809E0,4.009999847E1,3.790092468E0,2.657095194E0
1.131342307E2,1.687488970E1,7.362389513E1,1.743498554E2,4.199999809E0,3.990000153E1,3.790092468E0,2.634220362E0
1.141354651E2,1.687491486E1,7.362391254E1,1.741974405E2,3.000000000E0,3.479999924E1,3.790092468E0,2.500000000E0
1.151341095E2,1.687494214E1,7.362392740E1,1.741184428E2,3.440000057E0,3.089999962E1,3.790092468E0,2.500000000E0
1.161350990E2,1.687496890E1,7.362394044E1,1.744038867E2,3.410000086E0,2.900000000E1,3.790092468E0,2.500000000E0
1.171352250E2,1.687499394E1,7.362395132E1,1.748220255E2,2.859999895E0,1.939999962E1,3.790092468E0,2.500000000E0
1.181352758E2,1.687501689E1,7.362395200E1,1.746765061E2,2.799999952E0,2.000000030E-1,9.935046196E0,2.500000000E0
1.191347618E2,1.687504626E1,7.362394283E1,1.748282026E2,3.829999924E0,3.440000000E2,9.935046196E0,2.500000000E0
1.201334234E2,1.687507496E1,7.362392354E1,1.752862316E2,3.960000038E0,3.257000122E2,9.935046196E0,2.500000000E0
1.211337334E2,1.687509563E1,7.362390003E1,1.750744841E2,3.079999924E0,3.145000000E2,9.935046196E0,2.500000000E0
