"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.411875458E2,1.686828619E1,7.355968438E1,1.528078731E2,4.732113474E0,4.898897552E1,1.063645202E1,3.352117768E0
1.421875525E2,1.686831340E1,7.355971688E1,1.528044797E2,5.139750533E0,4.898897552E1,1.409506737E1,3.347183288E0
1.431875565E2,1.686833642E1,7.355974437E1,1.530497388E2,5.418286666E0,8.969267020E1,1.866966799E1,3.337467892E0
1.441875634E2,1.686824778E1,7.355994057E1,1.532342817E2,5.602404825E0,1.256701279E2,4.761552548E0,3.339484147E0
1.451875693E2,1.686820835E1,7.355999098E1,1.535796814E2,6.303875853E0,1.214502945E2,4.754913165E0,3.348930849E0
1.461875728E2,1.686817257E1,7.356005173E1,1.533170124E2,6.973983720E0,1.214502945E2,4.750959877E0,3.354536821E0
1.471875751E2,1.686813910E1,7.356010760E1,1.537837085E2,7.229474070E0,1.221163864E2,4.758033266E0,3.344496446E0
1.481875811E2,1.686809689E1,7.356017746E1,1.530785016E2,7.792258357E0,1.219935684E2,4.753450659E0,3.351006395E0
1.491875795E2,1.686805549E1,7.356024564E1,1.531684710E2,8.162859178E0,1.226388779E2,4.757917817E0,3.344660683E0
1.501875833E2,1.686801351E1,7.356031454E1,1.538088629E2,8.472722595E0,1.220080948E2,4.764513588E0,3.335258206E0
1.511875888E2,1.686796731E1,7.356039130E1,1.531955831E2,9.047044920E0,1.220080948E2,4.777975065E0,3.315945011E0
1.521875883E2,1.686792386E1,7.356046348E1,1.532423656E2,9.172059252E0,1.220080948E2,4.778649056E0,3.314973640E0
1.531875938E2,1.686787751E1,7.356054050E1,1.533149672E2,9.315844958E0,1.220080948E2,4.770774597E0,3.326296255E0
1.541875927E2,1.686783580E1,7.356060980E1,1.536335225E2,9.149421424E0,1.220080948E2,4.771665406E0,3.325018238E0
1.551875958E2,1.686778879E1,7.356068790E1,1.534575537E2,9.395669264E0,1.220080948E2,4.771171164E0,3.325727403E0
1.561875968E2,1.686773859E1,7.356076428E1,1.534717611E2,9.550220392E0,1.250670547E2,4.769700356E0,3.327836466E0
1.571875978E2,1.686768626E1,7.356084170E1,1.533503932E2,9.737255726E0,1.250670547E2,4.777070108E0,3.317248592E0
1.581875999E2,1.686763742E1,7.356091406E1,1.531183857E2,9.657877491E0,1.249078979E2,4.790593946E0,3.297688081E0
1.591876005E2,1.686758265E1,7.356099084E1,1.527194463E2,1.002073545E1,1.249078979E2,4.772003102E0,3.324533565E0
