"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.283198142E0,9.403793216E-1,7.125825882E0,6.436692715E0
6.304011130E0,9.236295223E-1,7.113861561E0,6.405586243E0
6.324854636E0,9.260223508E-1,7.135396957E0,6.403193474E0
6.345667624E0,9.308080077E-1,7.152146816E0,6.436692715E0
6.366511130E0,9.044869542E-1,7.130611420E0,6.429514408E0
6.387324118E0,9.140582681E-1,7.147361279E0,6.422336102E0
6.408167624E0,9.355936646E-1,7.173682213E0,6.417550564E0
6.428980612E0,9.164510965E-1,7.142575741E0,6.384050846E0
6.449793601E0,9.523434043E-1,7.106683254E0,6.396014690E0
6.470667624E0,9.547362328E-1,7.130611420E0,6.403193474E0
6.491480612E0,9.954141974E-1,7.125825882E0,6.388836384E0
6.512293601E0,1.031306505E0,7.116254330E0,6.405586243E0
6.533106589E0,1.105484009E0,7.082755089E0,6.386443615E0
6.553950095E0,1.143769264E0,7.068397999E0,6.374479294E0
6.574763083E0,1.165304661E0,7.032505512E0,6.372086525E0
6.595606589E0,1.189232826E0,7.046862602E0,6.386443615E0
6.616450095E0,1.115055323E0,7.056434155E0,6.405586243E0
6.637263083E0,1.167697430E0,7.118647575E0,6.398407936E0
6.658076071E0,1.134197950E0,7.152146816E0,6.338587284E0
6.678919577E0,1.150947690E0,7.202396393E0,6.269195557E0
6.699732565E0,1.048056364E0,7.216753006E0,6.293123722E0
6.720545554E0,1.021735311E0,7.202396393E0,6.302694798E0
6.741389060E0,1.043270707E0,7.202396393E0,6.331408501E0
6.762202048E0,1.055234790E0,7.168896675E0,6.331408501E0
6.783045554E0,1.081555843E0,7.087540627E0,6.364908218E0
6.803889060E0,1.088734269E0,7.054041386E0,6.391229153E0
6.824702048E0,1.124626637E0,7.030112743E0,6.388836384E0
6.845515036E0,1.117448211E0,7.037291527E0,6.427121639E0
6.866358542E0,1.150947690E0,7.018148899E0,6.463014126E0
6.887171530E0,1.155733347E0,6.996613503E0,6.419943333E0
6.908015036E0,1.177268744E0,7.020541668E0,6.376872540E0
6.928828024E0,1.170090318E0,7.061219692E0,6.379265308E0
6.949671530E0,1.105484009E0,7.058826923E0,6.386443615E0
6.970515036E0,1.115055323E0,7.061219692E0,6.384050846E0
6.991328024E0,1.196411371E0,7.056434155E0,6.350551128E0
7.012171530E0,1.256231904E0,7.061219692E0,6.369693756E0
7.032984519E0,1.318445325E0,7.092326164E0,6.345765591E0
7.053828024E0,1.301695466E0,7.082755089E0,6.321837425E0
7.074641013E0,1.306481123E0,7.063612461E0,6.305087566E0
7.095454001E0,1.294517040E0,7.051648140E0,6.309873104E0
7.116297507E0,1.249053478E0,7.049255371E0,6.312266350E0
7.137110495E0,1.205982566E0,7.123433113E0,6.300302029E0
7.157954001E0,1.134197950E0,7.185646534E0,6.297909260E0
7.178766989E0,1.091127157E0,7.166503906E0,6.343372822E0
7.199610495E0,1.009771109E0,7.142575741E0,6.360122681E0
7.220454001E0,9.260223508E-1,7.209574699E0,6.372086525E0
