"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.591681476E0,3.367897868E-1,8.099704385E-1,1.066391277E1
4.611399237E0,5.368895531E-1,9.810572863E-1,1.112154007E1
4.631099289E0,9.729815125E-1,1.118943691E0,1.024696350E1
4.650808195E0,9.382855892E-1,1.154836059E0,8.758329391E0
4.670517987E0,1.047158957E0,1.403988719E0,7.940282822E0
4.690221320E0,1.110568762E0,1.639980793E0,8.310273170E0
4.709943195E0,9.885348678E-1,1.602592945E0,8.940183640E0
4.729629705E0,9.080761671E-1,1.476969719E0,9.742676735E0
4.749346528E0,5.165506005E-1,1.280459166E0,9.843474388E0
4.769041164E0,3.260220960E-2,1.217049360E0,9.621838570E0
4.788773247E0,-1.423729509E-1,1.224227905E0,9.456435204E0
4.808478039E0,-9.062815458E-2,1.311565876E0,9.072088242E0
4.828186216E0,1.908276081E-1,1.455434322E0,9.241978645E0
4.847882153E0,3.762713671E-1,1.560718536E0,1.001815033E1
4.867567622E0,4.603192508E-1,1.510469317E0,1.035135078E1
4.887269601E0,5.297111273E-1,1.499701619E0,1.125314617E1
4.907001685E0,4.627120793E-1,1.414756417E0,1.157288647E1
4.926683872E0,4.208376706E-1,1.281655669E0,1.083858967E1
4.946398507E0,2.769692242E-1,1.380060434E0,1.029242706E1
4.966089393E0,1.812563092E-1,1.380060434E0,9.209674835E0
4.985795851E0,1.561316848E-1,1.599003673E0,9.079266548E0
5.005503143E0,-4.037888348E-2,1.693819284E0,9.273384094E0
5.025207987E0,4.336991161E-2,1.834995866E0,9.615857124E0
5.044890851E0,1.585244946E-2,1.751247048E0,1.029601669E1
5.064615174E0,-5.473581702E-2,1.395613790E0,1.026730251E1
5.084326216E0,-4.516452923E-2,1.027717352E0,1.018594646E1
5.104051424E0,-1.001994461E-1,8.650053740E-1,1.044706345E1
5.123735018E0,3.332005441E-1,7.977072597E-1,1.001934624E1
5.143438612E0,6.026921868E-1,9.128618240E-1,9.645767212E0
5.163132778E0,7.549355626E-1,1.127318621E0,9.662516594E0
5.182846268E0,7.070791125E-1,1.331904888E0,9.391828537E0
5.202549862E0,7.034898400E-1,1.566700578E0,9.155837059E0
5.222266112E0,6.517450809E-1,1.742872238E0,8.578568459E0
5.241966164E0,5.632106066E-1,1.904686809E0,8.434700012E0
5.261672049E0,4.052843451E-1,1.712961912E0,8.522336960E0
5.281386632E0,1.824527234E-1,1.382453322E0,8.917451859E0
5.301078299E0,-2.093719784E-3,1.145264745E0,9.922437668E0
5.320788195E0,-1.495514214E-1,9.607182741E-1,1.093101215E1
5.340479028E0,-3.918246925E-2,9.260223508E-1,1.179332542E1
5.360201737E0,-1.166501082E-2,9.487541914E-1,1.171914768E1
5.379874757E0,-1.121635586E-1,1.154836059E0,1.083739281E1
5.399632101E0,4.217349738E-2,1.396810174E0,9.751050949E0
5.419311685E0,1.633101404E-1,1.639980793E0,8.376075745E0
5.439008664E0,3.894318938E-1,1.946561217E0,8.343772888E0
5.458718768E0,4.040879309E-1,1.848156333E0,9.021839142E0
5.478423924E0,4.316053987E-1,1.419542074E0,9.408578873E0
5.498140851E0,3.786641955E-1,1.043270707E0,1.026969528E1
5.517833247E0,2.853440940E-1,7.175477147E-1,1.054756260E1
5.537544445E0,5.141577721E-1,8.075776696E-1,1.098126125E1
5.557236372E0,6.062814593E-1,9.296116233E-1,1.107458115E1
5.576928612E0,5.069792867E-1,1.014556766E0,1.018235779E1
5.596629445E0,5.440680385E-1,1.280459166E0,9.685248375E0
5.616357101E0,5.979065299E-1,1.564307809E0,9.239585876E0
5.636052674E0,6.723831892E-1,1.887937069E0,8.917451859E0
5.655767101E0,7.046862841E-1,2.026720762E0,8.848059654E0
5.675462414E0,6.326025128E-1,1.887937069E0,8.255238533E0
5.695168768E0,4.567300081E-1,1.783550143E0,8.591729164E0
5.714892414E0,2.853440940E-1,1.660319805E0,9.352347374E0
5.734588039E0,2.817548811E-1,1.543968797E0,9.583553314E0
5.754296060E0,9.840483218E-2,1.423131227E0,1.035135078E1
5.773997153E0,-2.033899277E-1,1.214656591E0,1.098963642E1
5.793702674E0,-3.972085714E-1,1.066002488E0,1.132373428E1
5.813406268E0,-5.195416212E-1,9.475577474E-1,1.151545906E1
5.833112830E0,-3.936193287E-1,8.482556343E-1,1.031276608E1
5.852843507E0,1.908276081E-1,9.762716293E-1,8.854042053E0
5.872523872E0,6.493522525E-1,1.209870934E0,8.269595146E0
5.892228091E0,1.038784146E0,1.383649707E0,8.245666504E0
5.911932570E0,1.338186026E0,1.503290772E0,9.034998894E0
5.931647622E0,1.415952802E0,1.512862086E0,1.039083195E1
5.951351216E0,1.329811215E0,1.274477124E0,1.051167011E1
5.971038976E0,6.735795736E-1,1.015753269E0,9.749855042E0
5.990746112E0,4.244269133E-1,9.595218897E-1,8.559425354E0
6.010454549E0,2.171486616E-1,1.176371455E0,8.472087860E0
6.030163820E0,9.601201117E-2,1.455434322E0,8.371290207E0
6.049869289E0,2.781656384E-2,1.565504193E0,8.791828156E0
6.069584445E0,1.103689447E-1,1.666301847E0,9.751050949E0
6.089296528E0,-1.686939895E-1,1.403988719E0,1.072971630E1
6.108989497E0,-2.009970993E-1,1.093819022E0,1.087119102E1
6.128685226E0,-4.755735025E-2,8.697910309E-1,1.038245773E1
6.148408091E0,7.567301393E-2,1.130907774E0,9.706784248E0
6.168084341E0,6.711867452E-1,1.455434322E0,9.639784813E0
6.187798976E0,8.374879360E-1,1.753639936E0,9.868598938E0
