"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.256278947E2,1.687239495E1,7.363541652E1,2.459681910E2,9.500000000E0,1.286000061E2,3.790092468E0,2.500000000E0
1.266272751E2,1.687233624E1,7.363546987E1,2.459073083E2,9.140000343E0,1.321999969E2,3.790092468E0,2.500000000E0
1.276273721E2,1.687227274E1,7.363552464E1,2.456304992E2,9.109999657E0,1.363999939E2,9.935046196E0,2.500000000E0
1.286270880E2,1.687220915E1,7.363556508E1,2.452098843E2,8.439999580E0,1.406999969E2,9.935046196E0,2.500000000E0
1.296277200E2,1.687214646E1,7.363559512E1,2.450496373E2,7.599999905E0,1.473999939E2,9.935046196E0,2.500000000E0
1.306270331E2,1.687209225E1,7.363560974E1,2.440163697E2,6.510000229E0,1.578999939E2,9.935046196E0,2.500000000E0
1.316266813E2,1.687204301E1,7.363561107E1,2.440688951E2,5.639999866E0,1.751999969E2,9.935046196E0,2.500000000E0
1.326281133E2,1.687200011E1,7.363559412E1,2.434911421E2,5.380000114E0,1.933000031E2,9.935046196E0,2.500000000E0
1.336278788E2,1.687195464E1,7.363556334E1,2.428486321E2,5.670000076E0,2.133000031E2,9.935046196E0,2.500000000E0
1.346279023E2,1.687192137E1,7.363551859E1,2.428216768E2,6.340000153E0,2.305000000E2,9.935046196E0,2.500000000E0
1.356275129E2,1.687189295E1,7.363545827E1,2.421477256E2,6.860000134E0,2.398000031E2,9.935046196E0,2.500000000E0
1.366274349E2,1.687186604E1,7.363540101E1,2.413078775E2,6.519999981E0,2.410000000E2,9.935046196E0,2.500000000E0
1.376270247E2,1.687184003E1,7.363535307E1,2.408370499E2,6.110000134E0,2.345000000E2,9.935046196E0,2.500000000E0
1.386272482E2,1.687180672E1,7.363531708E1,2.405275064E2,5.539999962E0,2.183000031E2,9.935046196E0,2.500000000E0
1.396268265E2,1.687177096E1,7.363529640E1,2.403007420E2,4.650000095E0,1.960000000E2,9.935046196E0,2.500000000E0
1.406267456E2,1.687173707E1,7.363529439E1,2.397907779E2,3.960000038E0,1.640000000E2,9.935046196E0,2.500000000E0
1.416257889E2,1.687170569E1,7.363531923E1,2.394841885E2,4.070000172E0,1.261999969E2,9.935046196E0,2.500000000E0
1.426318449E2,1.687168918E1,7.363536116E1,2.382600800E2,5.150000095E0,9.759999847E1,9.935046196E0,2.500000000E0
1.436275634E2,1.687168303E1,7.363542664E1,2.377792365E2,6.469999790E0,8.490000153E1,9.935046196E0,2.500000000E0
1.446269768E2,1.687168146E1,7.363550146E1,2.368000310E2,7.539999962E0,8.269999695E1,9.935046196E0,2.500000000E0
1.456264622E2,1.687168283E1,7.363557945E1,2.361283129E2,8.039999962E0,8.209999847E1,9.935046196E0,2.500000000E0
1.466274303E2,1.687167998E1,7.363566153E1,2.353086001E2,8.619999886E0,7.840000153E1,9.935046196E0,2.500000000E0
1.476276505E2,1.687169561E1,7.363575204E1,2.346795065E2,9.130000114E0,7.540000153E1,9.935046196E0,2.500000000E0
1.486260429E2,1.687170651E1,7.363583906E1,2.335367544E2,9.439999580E0,7.359999847E1,9.935046196E0,2.500000000E0
1.496277073E2,1.687172370E1,7.363593228E1,2.325025059E2,9.970000267E0,7.259999847E1,9.935046196E0,2.500000000E0
1.506276187E2,1.687174266E1,7.363602614E1,2.313093165E2,1.038000011E1,7.100000000E1,9.935046196E0,2.500000000E0
1.516280145E2,1.687176395E1,7.363612027E1,2.300760198E2,1.042000008E1,6.890000153E1,9.935046196E0,2.500000000E0
1.526281279E2,1.687178754E1,7.363621437E1,2.286553989E2,1.039000034E1,6.609999847E1,9.935046196E0,2.500000000E0
1.536279666E2,1.687181910E1,7.363630428E1,2.275858857E2,1.010000038E1,6.450000000E1,9.935046196E0,2.500000000E0
1.546277882E2,1.687185193E1,7.363639060E1,2.264722993E2,9.810000420E0,5.959999847E1,9.935046196E0,2.500000000E0
1.556278536E2,1.687188720E1,7.363646677E1,2.254743007E2,9.010000229E0,5.579999924E1,9.935046196E0,2.500000000E0
1.566257910E2,1.687192469E1,7.363653284E1,2.246416341E2,8.210000038E0,4.840000153E1,9.935046196E0,2.500000000E0
1.576293372E2,1.687197148E1,7.363658151E1,2.240557554E2,7.420000076E0,3.050000000E1,9.935046196E0,2.500000000E0
1.586272174E2,1.687203324E1,7.363662182E1,2.233031379E2,7.880000114E0,2.589999962E1,9.935046196E0,2.500000000E0
1.596275271E2,1.687209743E1,7.363665920E1,2.217133530E2,8.149999619E0,2.279999924E1,9.935046196E0,2.500000000E0
1.606262355E2,1.687216025E1,7.363669918E1,2.204392476E2,8.439999580E0,2.510000038E1,9.935046196E0,2.500000000E0
1.616260471E2,1.687223002E1,7.363674018E1,2.194295859E2,8.779999733E0,2.870000076E1,9.935046196E0,2.500000000E0
1.626277126E2,1.687229780E1,7.363679626E1,2.185157634E2,8.750000000E0,3.759999847E1,9.935046196E0,2.500000000E0
1.636273974E2,1.687234729E1,7.363685779E1,2.168878293E2,8.500000000E0,4.590000153E1,9.935046196E0,2.500000000E0
1.646274108E2,1.687238467E1,7.363692011E1,2.169225319E2,8.149999619E0,5.579999924E1,9.935046196E0,2.500000000E0
1.656269763E2,1.687241053E1,7.363698631E1,2.160220313E2,7.539999962E0,6.780000305E1,9.935046196E0,2.500000000E0
1.666272320E2,1.687243057E1,7.363704229E1,2.152432481E2,6.949999809E0,8.080000305E1,9.935046196E0,2.500000000E0
1.676266552E2,1.687242560E1,7.363711406E1,2.146362443E2,7.150000095E0,9.390000153E1,9.935046196E0,2.500000000E0
1.686264757E2,1.687240717E1,7.363718463E1,2.143954937E2,7.519999981E0,1.044000015E2,9.935046196E0,2.500000000E0
1.696279944E2,1.687238638E1,7.363725994E1,2.137530195E2,7.849999905E0,1.081999969E2,9.935046196E0,2.500000000E0
1.706265658E2,1.687236225E1,7.363733357E1,2.130158896E2,8.250000000E0,1.085000000E2,9.935046196E0,2.500000000E0
1.716276547E2,1.687234648E1,7.363740353E1,2.122737264E2,8.170000076E0,1.055999985E2,9.935046196E0,2.500000000E0
1.726270302E2,1.687234074E1,7.363746959E1,2.116763657E2,7.409999847E0,9.430000305E1,9.935046196E0,2.500000000E0
1.736283819E2,1.687234895E1,7.363753561E1,2.113074763E2,7.139999866E0,7.630000305E1,9.935046196E0,2.500000000E0
1.746309554E2,1.687237766E1,7.363759884E1,2.108487376E2,7.440000057E0,5.859999847E1,9.935046196E0,2.500000000E0
1.756268536E2,1.687242670E1,7.363765618E1,2.101928488E2,8.100000381E0,4.570000076E1,9.935046196E0,2.500000000E0
1.766271120E2,1.687248604E1,7.363770459E1,2.098398403E2,8.460000038E0,3.600000000E1,9.935046196E0,2.500000000E0
1.776268522E2,1.687255573E1,7.363774429E1,2.091760034E2,9.119999886E0,2.950000000E1,9.935046196E0,2.500000000E0
1.786264677E2,1.687263036E1,7.363778677E1,2.085661073E2,9.500000000E0,2.629999924E1,9.935046196E0,2.500000000E0
1.796265750E2,1.687270783E1,7.363782893E1,2.071842903E2,9.689999580E0,2.679999924E1,9.935046196E0,2.500000000E0
1.806284387E2,1.687278072E1,7.363787745E1,2.063588877E2,9.890000343E0,3.309999847E1,9.935046196E0,2.500000000E0
1.816259241E2,1.687285176E1,7.363793634E1,2.050959350E2,1.002999973E1,3.600000000E1,9.935046196E0,2.500000000E0
1.826262732E2,1.687291871E1,7.363799666E1,2.039991338E2,9.989999771E0,3.909999847E1,9.935046196E0,2.500000000E0
1.836285112E2,1.687298138E1,7.363806935E1,2.027674648E2,1.019999981E1,4.490000153E1,9.935046196E0,2.500000000E0
1.846269883E2,1.687303880E1,7.363814935E1,2.022549933E2,1.038000011E1,4.840000153E1,9.935046196E0,2.500000000E0
1.856254543E2,1.687309199E1,7.363822625E1,2.014986983E2,1.047000027E1,5.609999847E1,9.935046196E0,2.500000000E0
1.866265978E2,1.687313673E1,7.363831426E1,2.006819499E2,1.052999973E1,6.020000076E1,9.935046196E0,2.500000000E0
1.876295979E2,1.687317681E1,7.363839506E1,1.997997830E2,1.031999969E1,6.000000000E1,9.935046196E0,2.500000000E0
1.886272141E2,1.687321860E1,7.363847831E1,1.986317842E2,9.560000420E0,5.979999924E1,9.935046196E0,2.500000000E0
1.896263008E2,1.687325432E1,7.363855011E1,1.975749440E2,8.390000343E0,6.179999924E1,9.935046196E0,2.500000000E0
1.906272369E2,1.687328060E1,7.363861824E1,1.964639328E2,7.369999886E0,6.450000000E1,9.935046196E0,2.500000000E0
1.916275160E2,1.687329695E1,7.363866834E1,1.958796775E2,5.989999771E0,7.590000153E1,9.935046196E0,2.500000000E0
1.926274633E2,1.687329513E1,7.363871212E1,1.953242243E2,4.800000191E0,9.750000000E1,9.935046196E0,2.500000000E0
1.936271461E2,1.687328043E1,7.363875176E1,1.949497793E2,4.579999924E0,1.230999985E2,9.935046196E0,2.500000000E0
1.946329442E2,1.687324119E1,7.363878451E1,1.940888365E2,5.309999943E0,1.470000000E2,9.935046196E0,2.500000000E0
1.956254469E2,1.687319429E1,7.363880117E1,1.927211351E2,5.960000038E0,1.723000031E2,9.935046196E0,2.500000000E0
1.966261758E2,1.687313168E1,7.363881212E1,1.916144672E2,6.710000038E0,1.831999969E2,9.935046196E0,2.500000000E0
