"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.770270691E2,-1.562513232E0,8.061419487E0,1.842473388E0
7.770479126E2,1.246660590E0,8.001599312E0,2.218146563E0
7.770687562E2,-5.862415433E-1,7.613961697E0,4.874179840E0
7.770896302E2,8.781659007E-1,1.046142101E1,7.968099594E0
7.771104737E2,1.158126116E0,7.456035137E0,4.436293125E0
7.771313477E2,2.153540403E-2,8.872586250E0,3.436093330E0
7.771521912E2,1.737189293E0,8.023134232E0,4.345366001E0
7.771730347E2,-7.513462901E-1,7.786244869E0,4.663611412E0
7.771939087E2,2.167897224E0,9.832108498E0,1.150708389E1
7.772147522E2,9.236295223E-1,8.683553696E0,7.259823799E0
7.772355958E2,9.810572863E-1,8.920442581E0,3.950550079E0
7.772564393E2,5.144568682E-1,7.470392227E0,4.522434771E-1
7.772772828E2,-7.058826685E-1,6.558726788E0,-2.871387303E-1
7.772981568E2,7.657032609E-1,9.444471359E0,8.260024071E0
7.773190003E2,-7.441678643E-1,8.602197647E0,5.381458282E0
7.773398743E2,-4.331009090E-1,8.595019341E0,3.768695593E0
7.773607178E2,2.108076811E0,7.523034573E0,4.491328239E0
7.773815613E2,1.244267747E-1,8.018348694E0,1.552941918E0
7.774024048E2,3.014956415E-1,1.016710377E1,4.706682205E0
7.774232789E2,1.165304661E0,7.252645493E0,9.858428955E0
7.774441224E2,1.584048629E0,7.836493969E0,1.166501045E1
7.774649659E2,1.895115495E0,8.824729919E0,5.003392220E0
7.774858399E2,1.674975902E-1,6.087340832E0,1.208375454E0
7.775066834E2,1.177268744E0,4.934000492E0,3.864408493E0
7.775275574E2,1.674975902E-1,8.614161491E0,3.270988464E0
7.775484009E2,4.235295951E-1,7.470392227E0,1.347159147E0
7.775692444E2,6.556333899E-1,5.213960648E0,3.749552965E0
7.775901185E2,8.422735929E-1,6.594619274E0,9.236295700E0
7.776109620E2,1.686939955E0,7.932207108E0,6.936792850E0
7.776318055E2,1.749153376E0,7.006184578E0,6.783652306E0
7.776526490E2,3.328416348E0,3.847658873E0,1.161236858E1
7.776735230E2,2.208575249E0,4.670789719E0,1.245942783E1
7.776943665E2,2.445464849E0,6.814758778E0,8.102097511E0
7.777152100E2,1.883151412E0,7.125825882E0,5.769095421E0
7.777360840E2,7.369893789E-1,6.800402164E0,1.057627583E1
7.777569275E2,1.440479279E0,9.202795982E0,1.121755219E1
7.777778016E2,1.060020447E0,1.015274620E1,7.357929707E0
7.777986451E2,1.167697430E0,8.231309891E0,4.917250633E0
7.778194886E2,1.952543259E0,7.987242222E0,8.635697365E0
7.778403321E2,1.794616938E0,7.640282631E0,5.333601475E0
7.778611756E2,5.120640397E-1,8.145168304E0,3.113062143E0
7.778820496E2,1.071984529E0,6.384050846E0,4.630111694E0
7.779028931E2,1.093519926E0,7.886743546E0,7.755138397E0
7.779237366E2,1.619940877E0,6.472585201E0,7.338787079E0
7.779445801E2,1.545763373E0,8.080561638E0,7.838887215E0
7.779654542E2,1.371087432E0,6.317051888E0,6.202196121E0
7.779862977E2,1.160519004E0,7.826922894E0,5.194818020E0
7.780071717E2,2.177468538E-1,7.793423176E0,1.440479279E0
7.780280152E2,1.584048629E0,7.243073940E0,5.352744102E0
7.780488587E2,1.148554921E0,7.386643410E0,8.786444664E0
7.780697327E2,1.249053478E0,8.391629219E0,9.516255379E0
7.780905762E2,1.155733347E0,6.932007313E0,1.011685371E1
7.781114502E2,1.880758643E0,8.367700577E0,7.881958008E0
7.781322937E2,6.771687865E-1,6.484549522E0,5.532206059E0
7.781531678E2,2.794816732E0,7.587640762E0,4.168296814E0
7.781740113E2,5.623133183E-1,5.934200287E0,3.297309637E0
7.781948548E2,1.837687731E0,7.075576782E0,4.850251675E0
7.782157288E2,-5.335994363E-1,6.642475605E0,2.450250387E0
7.782365723E2,9.092726111E-1,7.877171993E0,9.279366493E0
7.782574463E2,2.136790514E0,8.484949112E0,1.187557888E1
7.782782898E2,1.162911773E0,7.791030407E0,9.903892517E0
7.782991333E2,1.916650891E0,7.200003147E0,7.257431030E0
